id,trigger,conditions,script,text,options,notes
# comm relay interactions,,,,,,
commRelayOpen,OpenInteractionDialog,$tag:comm_relay,"ShowDefaultVisual
FireBest InitCommRelayDialog",,,
commRelayInit,InitCommRelayDialog,$tag:comm_relay,"$menuState = main 0
#SetTextHighlightColors buttonText ""255,0,0,255""
#SetTextHighlights $shipOrFleet $relayName irreplaceable technology
FireAll PopulateOptions","Your $shipOrFleet approaches the $relayName. An irreplaceable piece of Domain technology, the relay enables rapid communication between star systems.",,
commRelayInitSnifferInstalled,InitCommRelayDialog,"$tag:comm_relay
$global.csFinished","InstallCommSniffer
MakePlayerImmediatelyAttackable
BroadcastCancelPlayerAction 1500 $respondingToCommRelayInterference
$menuState = main 0
FireAll PopulateOptions","The installation finished successfully, and the comm sniffer sends back a test data stream to confirm it's functioning properly.",,
commRelayInitSnifferInterupted,InitCommRelayDialog,"$tag:comm_relay
$global.csInterrupted","unset $global.csInterrupted
$menuState = main 0
FireAll PopulateOptions",Your attempt to install a comm sniffer was interrupted.,,
commRelayInitSnifferInProgress,InitCommRelayDialog,"$tag:comm_relay
$global.csInProgress
!$global.csInterrupted
!$global.csFinished",,You're currently installing a comm sniffer on this relay.,"csAbort:Abort the installation
csContinue:Continue",
commRelayInitSnifferAbort,DialogOptionSelected,$option==csAbort,"AbortWait $global.csWait
$menuState = main 0
FireAll PopulateOptions",The installation is cancelled.,,
commRelayInitSnifferContinue,DialogOptionSelected,$option==csContinue,DismissDialog,,,
commRelayAddOptionInstallSniffer,PopulateOptions,"$tag:comm_relay
$menuState == main
!$commSnifferInstalled","#SetTooltip csInstall ""Install a comm sniffer on this relay.""
#SetTooltipHighlightColors csInstall buttonText
#SetTooltipHighlights csInstall ""comm sniffer""
#SetShortcut csInstall ""I"" true
#SetEnabled csInstall true
#AddSelector ""-1"" $global.testSelector ""Test selector"" ""255,0,0,255"" 0 200",,"0:csInstall:Install a comm sniffer
",
commRelaySaySnifferRunning,PopulateOptions,"$tag:comm_relay
$menuState == main
$commSnifferInstalled
!$saidCommSnifferRunning",$saidCommSnifferRunning = true 0,You've got a comm sniffer running on this relay.,,
commRelayAddOptionUninstallSniffer,PopulateOptions,"$tag:comm_relay
$menuState == main
$commSnifferInstalled
",,,0:csUninstall:Uninstall the comm sniffer,
,,,,,,
commRelayAddOptionLeave,PopulateOptions,"$tag:comm_relay
$menuState == main","SetShortcut crLeave ""ESCAPE""",,100:crLeave:Leave,
,,,,,,
