name,id,tier,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,number
Light Machine Gun,lightmg,0,100,300,,25,,1,50,3,1000,,KINETIC,3,,0,0.4,5,0.1,0,5,1,15,,600,,,10,PD,0.5
Light Dual Machine Gun,lightdualmg,2,400,300,,25,,1,50,6,1000,,KINETIC,3,,0,0.2,5,0.1,0,5,1,15,,600,,,10,PD,0.7
Light Mortar,lightmortar,0,75,450,,75,,4,30,2,150,,HIGH_EXPLOSIVE,50,,0,1,1,,0,20,5,5,,500,,,10,,0.75
Vulcan Cannon,vulcan,1,200,250,,25,,1,75,4,1000,,FRAGMENTATION,1,,0,0.05,1,,0,15,1,15,,800,,,10,PD,1
Light Autocannon,lightac,0,125,600,,50,,3,10,4,150,,KINETIC,55,,0,0.5,1,,0,20,3,9,,800,,,20,,2
Light Dual Autocannon,lightdualac,1,300,600,,50,,3,10,5,300,,KINETIC,50,,0,0.6,2,0.1,0,20,3,9,,800,,,20,,2.5
Light Assault Gun,lightag,1,300,600,,40,,3,40,5,400,,HIGH_EXPLOSIVE,40,,0,0.25,1,,0,10,2,10,,800,,,30,,3
Frag Bomb Bay,fragbomb,0,100,1500,,500,,40,15,3,30,,FRAGMENTATION,0,,0,2,1,,0,0,0,0,,20,50,60,50,"STRIKE, ANTI_FTR",3.2
Cluster Bomb Bay,clusterbomb,2,350,1500,,300,,30,15,5,30,,HIGH_EXPLOSIVE,0,,0,2,5,0.1,0,0,0,0,,20,20,60,75,STRIKE,3.4
Standard Bomb Bay,bomb,1,200,1500,,600,,50,15,4,10,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,20,20,60,100,STRIKE,3.5
Light Needler,lightneedler,3,800,800,,50,,1,20,9,1000,,KINETIC,40,,0,2.5,10,0.1,0,10,1,5,,1200,,,10,,3.65
Railgun,railgun,2,600,700,,100,,10,30,7,200,,KINETIC,90,,0.6,0,1,,,,,,,1000,,,50,,3.75
Thumper,shredder,0,700,600,,90,,1,15,9,400,,FRAGMENTATION,30,,0.5,0.2,9999,0.2,0,2,0.2,2,,600,,,30,,3.8
Heavy Machine Gun,heavymg,2,1500,400,,40,,3,40,12,500,,KINETIC,15,,0,0.2,4,0.1,0,5,1,15,,700,,,30,PD,3.85
Flak Cannon,flak,1,1000,500,,200,,10,40,8,100,,FRAGMENTATION,50,,0,1,1,,0,10,2,10,,700,,,30,PD,4
Arbalest Autocannon,arbalest,0,800,700,,150,,10,12,8,150,,KINETIC,170,,0,1,1,,0,15,5,10,,800,,,30,,4.125
Dual Flak Cannon,dualflak,2,2000,400,,150,,10,60,12,200,,FRAGMENTATION,50,,0,0.33,1,,0,10,2,10,,700,,,30,PD,4.25
Assault Chaingun,chaingun,1,1200,700,,40,,3,30,10,600,,HIGH_EXPLOSIVE,40,,0,0.15,1,,0,20,1,10,,800,,,30,,4.5
Heavy Mauler,heavymauler,2,2500,1000,,250,,10,20,12,200,,HIGH_EXPLOSIVE,225,,0,1,1,,0,10,2,5,,900,,,30,,4.75
Heavy Autocannon,heavyac,1,1200,800,,100,,10,7,10,300,,KINETIC,100,,0,1,3,0.2,0,18,3,10,,800,,,30,,5
Hypervelocity Driver,hveldriver,2,2750,1000,,275,400,40,10,13,100,,KINETIC,350,,0,2,1,,,,,,,1000,,,300,,5.5
Heavy Needler,heavyneedler,3,3000,800,,50,,1,15,15,1500,,KINETIC,40,,0,2.5,15,0.075,0,10,1,5,,1200,,,10,,5.75
Gauss Cannon,gauss,2,7000,1200,,700,,300,3,25,50,,KINETIC,800,,1,1,,,,,,,,1200,,,400,,6
Hephaestus Assault Gun,hephag,1,5000,900,,120,,5,20,20,400,,HIGH_EXPLOSIVE,120,,0,0.25,1,,0,10,2,10,,800,,,50,,7
Mark IX Autocannon,mark9,0,4000,900,,200,,20,10,18,300,,KINETIC,230,,0,2,4,0.1,0,15,2,10,,800,,,100,,7.25
Mjolnir Cannon,mjolnir,2,10000,900,,400,200,10,25,24,250,,ENERGY,600,,0,0.75,1,,0,5,1,10,,900,,,75,,7.5
Hellbore Cannon,hellbore,0,4000,900,,750,,200,5,16,100,,HIGH_EXPLOSIVE,825,,0,1.5,1,,0,10,5,10,,500,,,400,,8
Storm Needler,multineedler,3,12000,800,,75,,20,15,28,1000,,KINETIC,50,,1,0.1,9999,0.1,0,0,0,0,,900,,,20,,8.5
Reaper-class Torpedo,reaper,1,200,1200,,4000,,300,10,2,1,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,400,100,3,500,STRIKE,9
Atropos-class Torpedo Rack,atropos,2,400,1300,,2000,,150,10,6,2,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,250,50,8,250,"STRIKE, DO_NOT_AIM",9.5
Atropos-class Torpedo (Single),atropos_single,2,200,1300,,2000,,150,10,2,1,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,250,50,8,250,"STRIKE, DO_NOT_AIM",9.75
Swarmer SRM Launcher,swarmer,1,250,1000,,75,,15,50,4,60,,HIGH_EXPLOSIVE,0,,0,5,4,0.2,0,0,0,0,,300,100,5,50,"ANTI_FTR, DO_NOT_AIM",10
Swarmer SRM Launcher,swarmer_fighter,1,250,1000,,75,,15,50,4,60,,HIGH_EXPLOSIVE,0,,0,5,2,0.2,0,0,0,0,,300,100,5,50,"ANTI_FTR, DO_NOT_AIM, SYSTEM",10
Annihilator Rocket Launcher,annihilator,0,150,1500,,200,,20,30,4,50,,HIGH_EXPLOSIVE,0,,0,5,5,0.2,0,0,0,0,,400,50,3,50,CONSERVE_1,11
Salamander MRM,heatseeker,1,225,2000,,500,1500,50,30,5,3,,FRAGMENTATION,0,,0,1,1,,0,0,0,,,400,50,15,150,"DO_NOT_AIM, HEATSEEKER",11.25
Harpoon MRM,harpoon,1,200,2500,,750,,50,30,5,3,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,300,100,12.5,150,DO_NOT_AIM,11.5
Harpoon MRM (Single),harpoon_single,0,100,2500,,750,,50,30,1,1,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,,,300,100,12.5,150,DO_NOT_AIM,11.6125
Sabot SRM,sabot,1,200,1400,,100,,50,30,5,3,,KINETIC,0,,0,1,1,,0,0,0,0,,150,50,8,300,GUIDED_POOR,11.75
Sabot SRM (Single),sabot_single,0,100,1400,,100,,50,30,1,1,,KINETIC,0,,0,1,1,,0,0,0,0,,150,50,8,300,GUIDED_POOR,11.85
Harpoon MRM Pod,harpoonpod,1,1200,2500,,750,,50,10,10,12,,HIGH_EXPLOSIVE,0,,0,8,4,0.25,0,0,0,,,300,100,12.5,150,DO_NOT_AIM,12
Sabot SRM Pod,sabotpod,1,1200,1400,,100,,50,10,10,12,,KINETIC,0,,0,8,4,0.25,0,0,0,0,,150,50,8,300,GUIDED_POOR,12.1
Salamander MRM Pod,salamanderpod,1,1200,2000,,500,1500,50,10,10,12,,FRAGMENTATION,0,,0,8,4,0.25,0,0,0,,,400,50,15,150,"DO_NOT_AIM, HEATSEEKER",12.2
Annihilator Rocket Pod,annihilatorpod,0,1200,1500,,200,,20,30,10,100,,HIGH_EXPLOSIVE,0,,0,0.5,1,,0,0,0,0,,400,50,3,50,,12.3
Pilum LRM Launcher,pilum,0,900,10000,,500,,75,10,10,30,,HIGH_EXPLOSIVE,0,,0,15,3,0.4,0,0,0,0,,250,100,40,125,"DO_NOT_AIM, CONSERVE_1",12.5
Proximity Charge Launcher,phasecl,2,2000,1000,,500,,100,30,12,30,,HIGH_EXPLOSIVE,0,,0,3,1,,0,0,0,0,,50,200,20,250,ANTI_FTR,13
Typhoon Reaper Launcher,typhoon,1,1200,1200,,4000,,300,20,10,5,,HIGH_EXPLOSIVE,0,,0,15,1,,0,0,0,0,,400,100,3,500,STRIKE,14
Cyclone Reaper Launcher,cyclone,2,6000,1200,,4000,,300,20,26,20,,HIGH_EXPLOSIVE,0,,0,15,2,1,0,0,0,0,,400,100,3,500,STRIKE,15
Hurricane MIRV Launcher,hurricane,1,7500,5000,,500,,100,10,25,10,,HIGH_EXPLOSIVE,0,,0,10,1,,0,0,0,0,,250,50,20,200,DO_NOT_AIM,16
Mining Laser,mininglaser,0,100,400,30,,,0,30,3,,,ENERGY,,35,0.25,0.25,,,,,,,2400,,,,,PD,16.5
PD Laser,pdlaser,1,200,325,75,,,0,75,5,,,ENERGY,,50,0,0.25,,,,,,,2400,,,,,PD,17
Tactical Laser,taclaser,1,200,600,75,,,0,20,5,,,ENERGY,,75,0.5,1,,,,,,,2400,,,,,,18
Ion Cannon,ioncannon,2,500,600,,25,400,0,40,6,,,ENERGY,80,,0.5,0,,,,,,,,1000,,,,,19
IR Pulse Laser,irpulse,1,250,500,,35,,0,50,6,,,ENERGY,50,,0.33,0,,,,,,,,1000,,,,,19.25
LR PD Laser,lrpdlaser,2,400,500,50,,,0,60,6,,,ENERGY,,40,0,0.25,,,,,,,2400,,,,,PD,19.5
Burst PD Laser,pdburst,2,600,500,300,,,0,100,8,2,0.5,ENERGY,,350,0.1,0.1,0.3,0.1,,,,,10000,,,,,"PD,ANTI_FTR",15.6
Antimatter Blaster,amblaster,3,900,400,,1200,,0,30,9,20,,ENERGY,1500,,0.25,10,,,0,0,0,0,,1000,,,100,"STRIKE,USE_VS_FRIGATES",19.75
Phase Beam,phasebeam,1,1500,700,150,,40,0,20,12,,,ENERGY,,160,0.5,1,,,,,,,2400,,,,,,20
Graviton Beam,gravitonbeam,2,2200,800,100,,,10,15,10,,,KINETIC,,75,0.5,1,,,,,,,2400,,,,,,21
Pulse Laser,pulselaser,1,1200,600,,75,,0,20,10,,,ENERGY,110,,0.33,0,,,,,,,,1000,,,,,22
Mining Blaster,miningblaster,1,1000,500,,600,,0,7,10,,,ENERGY,1200,,0,2,,,,,,,,1000,,,,,22.125
Heavy Blaster,heavyblaster,2,3000,600,,400,,0,15,12,,,ENERGY,720,,0,1,,,,,,,,1000,,,,,22.25
Heavy Burst Laser,heavyburst,2,2750,600,450,,,0,40,13,3,0.5,ENERGY,,600,0.1,0.1,0.3,0.1,,,,,10000,,,,,"PD,ANTI_FTR",22.5
Plasma Cannon,plasma,3,20000,700,,750,,500,10,30,,,ENERGY,1200,,0.333,3,3,0.333,,,,,,750,,,500,,23
High Intensity Laser,hil,1,5000,1250,250,,,0,5,20,,,ENERGY,,250,1,1,,,,,,,2400,,,,,,24
Autopulse Laser,autopulse,1,5000,700,,100,,0,20,20,20,2,ENERGY,100,,0.05,0.05,1,,0,10,1,5,,1000,,,,,25
Guardian PD System,guardian,2,9000,750,1000,,,0,75,22,10,0.5,ENERGY,,1500,0,0,0.2,0.1,,,,,1000000,,,,,"PD,ANTI_FTR",26
Tachyon Lance,tachyonlance,3,25000,2500,500,,1000,0,7,32,,,ENERGY,,1000,0.5,1,1,5,,,,,10000,,,,,AUTOZOOM,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
